Comunidad autónoma de residencia del fallecido;Mes;Sexo;Total
Ceuta;Total;Varones;165
Ceuta;Total;Mujeres;162
Ceuta;Enero;Total;65
Ceuta;Enero;Varones;31
Ceuta;Enero;Mujeres;34
Ceuta;Febrero;Total;68
Ceuta;Febrero;Varones;37
Ceuta;Febrero;Mujeres;31
Ceuta;Marzo;Total;61
Ceuta;Marzo;Varones;32
Ceuta;Marzo;Mujeres;29
Ceuta;Abril;Total;51
Ceuta;Abril;Varones;29
Ceuta;Abril;Mujeres;22
Ceuta;Mayo;Total;36
Ceuta;Mayo;Varones;15
Ceuta;Mayo;Mujeres;21
Ceuta;Junio;Total;46
Ceuta;Junio;Varones;21
Ceuta;Junio;Mujeres;25
Melilla;Total;Total;281
Melilla;Total;Varones;139
Melilla;Total;Mujeres;142
Melilla;Enero;Total;53
Melilla;Enero;Varones;30
Melilla;Enero;Mujeres;23
Melilla;Febrero;Total;49
Melilla;Febrero;Varones;19
Melilla;Febrero;Mujeres;30
Melilla;Marzo;Total;56
Melilla;Marzo;Varones;25
Melilla;Marzo;Mujeres;31
Melilla;Abril;Total;47
Melilla;Abril;Varones;25
Melilla;Abril;Mujeres;22
Melilla;Mayo;Total;38
Melilla;Mayo;Varones;20
Melilla;Mayo;Mujeres;18
Melilla;Junio;Total;38
Melilla;Junio;Varones;20
Melilla;Junio;Mujeres;18
Extranjero;Total;Total;757
Extranjero;Total;Varones;505
Extranjero;Total;Mujeres;252
Extranjero;Enero;Total;218
Extranjero;Enero;Varones;148
Extranjero;Enero;Mujeres;70
Extranjero;Febrero;Total;165
Extranjero;Febrero;Varones;115
Extranjero;Febrero;Mujeres;50
Extranjero;Marzo;Total;172
Extranjero;Marzo;Varones;110
Extranjero;Marzo;Mujeres;62
Extranjero;Abril;Total;83
Extranjero;Abril;Varones;55
Extranjero;Abril;Mujeres;28
Extranjero;Mayo;Total;66
Extranjero;Mayo;Varones;41
Extranjero;Mayo;Mujeres;25
Extranjero;Junio;Total;53
Extranjero;Junio;Varones;36
Extranjero;Junio;Mujeres;17
